"","SN01_1","SN02_1","SN09_1","SN12_1","SN17_1","SN11","SN06_1","SN16_1","SN18_2","SN15_1","SN05_1","SN08","SN13_4","SN04_1","SN10_1"
"ENSG00000187961",333,461,241,260,212,602,477,305,333,149,431,162,405,202,355
"ENSG00000187583",170,200,162,240,137,113,126,152,104,95,91,36,89,112,59
"ENSG00000187642",7,6,2,16,0,21,14,2,6,6,4,0,10,0,0
"ENSG00000188290",256,59,116,73,87,258,148,105,110,84,204,31,470,114,170
"ENSG00000187634",154,215,73,48,81,384,127,105,146,47,160,63,327,264,159
"ENSG00000188976",2629,2826,2964,2216,2149,2818,1674,2291,2130,2503,3512,1749,2835,1408,1423
"ENSG00000187608",274,451,753,238,75,51,143,95,121,66,182,49,69,128,45
"ENSG00000237330",37,119,23,120,141,246,84,68,94,73,90,16,183,83,121
"ENSG00000188157",5101,5767,5170,5167,6258,7701,5624,6596,4221,4851,4282,4140,7257,3457,4308
"ENSG00000186092",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ENSG00000284733",2,16,14,16,11,4,11,4,12,7,9,7,2,7,5
"ENSG00000284662",2,23,16,17,12,4,12,4,13,7,14,8,2,8,5
"ENSG00000186891",27,137,78,19,33,46,56,36,50,17,70,8,71,114,45
"ENSG00000162571",114,126,68,42,27,159,103,66,88,35,19,20,222,61,135
"ENSG00000186827",28,206,167,33,28,55,35,65,34,16,77,16,45,119,27
"ENSG00000131591",665,693,447,590,445,973,1101,683,638,566,517,262,1333,607,944
"ENSG00000184163",17,177,32,33,113,130,94,31,99,39,89,13,143,107,168
"ENSG00000176022",577,1151,790,411,398,506,392,566,464,495,604,410,603,327,239
"ENSG00000078808",1755,2784,3134,3358,3009,5218,2528,2541,3035,2880,3734,2042,4606,2736,3373
"ENSG00000162572",11,90,494,29,39,82,91,38,58,34,60,9,341,40,80
"ENSG00000160087",796,1686,987,978,1019,900,1015,1018,848,986,1496,694,1036,1071,1167
"ENSG00000224051",360,605,596,655,951,898,807,732,785,753,950,510,1091,820,975
"ENSG00000107404",1746,2285,2163,2250,3227,3069,2405,2300,2062,2209,3410,1266,3702,1489,1848
"ENSG00000169962",206,726,74,60,41,50,107,100,54,27,47,60,89,138,56
"ENSG00000162576",1082,2119,673,1656,2641,2022,1976,975,1340,1155,610,337,5387,1452,2538
"ENSG00000131584",1500,1985,3176,1211,1225,3228,2830,1733,1884,1093,988,894,5406,1825,2168
"ENSG00000127054",1165,2329,1497,1723,1593,2773,2234,1545,1552,1427,1914,1139,2989,1224,1528
"ENSG00000169972",205,309,371,201,170,307,230,194,155,233,366,221,255,204,160
"ENSG00000235098",8,96,1511,7,10,7,11,13,38,7,23,6,48,39,8
"ENSG00000242485",741,1296,1057,880,885,817,704,888,714,912,1288,866,687,834,617
"ENSG00000179403",1258,1560,3415,938,978,925,637,2090,1017,618,1089,1393,902,535,280
"ENSG00000175756",443,434,649,480,669,670,281,650,705,754,1606,524,657,427,570
"ENSG00000221978",3753,9895,7613,7893,7313,7219,5349,7438,4529,2520,5051,5148,7073,6934,3734
"ENSG00000228594",134,180,50,52,16,90,34,172,123,127,158,51,21,18,32
"ENSG00000215915",54,111,271,3,28,57,30,103,19,33,48,14,23,55,27
"ENSG00000197785",935,979,1314,903,741,1082,631,1042,917,1050,1175,732,1058,662,526
"ENSG00000205090",15,51,7,16,12,68,6,14,3,6,5,8,14,8,14
"ENSG00000160072",2363,2425,2014,2044,1690,3416,2700,2295,2141,1461,1808,1130,4082,1726,1874
"ENSG00000160075",2844,3948,3164,2869,3085,3059,2476,3463,2375,3563,3325,2872,2841,2430,2211
"ENSG00000197530",1124,2213,848,1697,2633,4546,3148,1670,1615,1638,1686,1119,5765,1730,2189
"ENSG00000189409",8,53,16,2,71,50,94,40,48,25,14,0,114,42,32
"ENSG00000248333",935,1706,1233,1424,1379,2701,2074,1750,2488,1389,1596,678,1859,1422,2095
"ENSG00000008128",1082,1433,1022,1108,1336,2555,2150,1710,2279,579,1207,596,1972,1087,2338
